did,name,kw,nr_attr,desc,feats
46560,dataset_credit_score,finance,27,"Financial dataset for automl benchmark. Name = dataset_credit_score, target = credit_score","total_emi_per_month, customer_id, occupation, month, num_of_delayed_payment, payment_behaviour, payment_of_min_amount, c"
42141,SVHN_medium,unknown,1000,50% stratified subsample of the original SVHN data,"pixel1967, pixel1212, pixel3012, pixel277, pixel1965, pixel30, pixel1785, pixel1520, pixel540, pixel2549, pixel632, pixe"
46770,Meta_Album_BRD_Extended,image,2,"## **Meta-Album Birds Dataset (Extended)** *** When Meta-Album was created, the Birds dataset(https://www.kaggle.com/datasets/gpiosenka/100-bird-species) contained images of 315 bi","FILE_NAME, SUPER_CATEGORY, CATEGORY"
45051,adult-test,unknown,14,test,"capital-gain, occupation, race, native-country, relationship, class, workclass, hours-per-week, marital-status, age, edu"
46070,Stylized_Meta_Album_TEX_DTD_STY_Extended,unknown,6,Textures dataset from Describable Textures Dataset (stylized),"FILE_NAME, STYLE, STYLE_PATH, CATEGORY, STYLIZED_PATH, STYLE_NAME, FILE_PATH"
40985,tamilnadu-electricity,health,2,**Author**: K.Kalyani. **Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Tamilnadu+Electricity+Board+Hourly+Readings) - 2013 **Please cite**: __Major changes w.r.t. version,"Class, V3, V2, V1"
151,electricity,unknown,8,"**Author**: M. Harries, J. Gama, A. Bifet **Source**: [Joao Gama](http://www.inescporto.pt/~jgama/ales/ales_5.html) - 2009 **Please cite**: None **Electricity** is a widely used da","period, vicprice, nswprice, class, nswdemand, day, date, vicdemand, transfer"
1461,bank-marketing,finance,16,"**Author**: Paulo Cortez, Sérgio Moro **Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/bank+marketing) **Please cite**: S. Moro, R. Laureano and P. Cortez. Using Data Mini","V4, V6, V12, V14, V13, V7, V9, V10, V16, Class, V11, V5, V8, V15, V3, V2, V1"
279,meta_stream_intervals.arff,unknown,74,,"meta_RandomTreeDepth3AUC_K=0, meta_REPTreeDepth2ErrRate, meta_RandomTreeDepth2AUC_K=0, meta_DecisionStumpAUC, meta_REPTr"
46565,Loan_Approval_Status,finance,13,# Loan Approval Classification Dataset This dataset is a synthetic version inspired by the original Credit Risk dataset on Kaggle.,"person_education, loan_intent, person_age, credit_score, loan_int_rate, loan_percent_income, person_emp_exp, person_home"
46468,Give-Me-Some-Credit-Sampled,finance,10,Originial Dataset Give-Me-Some-Credit 45577,"SeriousDlqin2yrs, NumberRealEstateLoansOrLines, NumberOfTimes90DaysLate, NumberOfDependents, MonthlyIncome, RevolvingUti"
46553,Loan_Status,finance,13,Loan Status Dataset,"person_education, loan_intent, person_age, credit_score, loan_int_rate, loan_percent_income, person_emp_exp, person_home"
41027,jungle_chess_2pcs_raw_endgame_complete,unknown,6,"### Description ### This dataset is part of a collection datasets based on the game ""Jungle Chess"" (a.k.a. Dou Shou Qi). For a description of the rules, please refer to the paper (","white_piece0_rank, class, black_piece0_strength, black_piece0_file, white_piece0_strength, black_piece0_rank, white_piec"
