did,name,llm_domain,llm_confidence,llm_modality
46,splice,biology,5,sequence
40670,dna,biology,5,sequence
1128,OVA_Breast,biology,5,gene_expression
1130,OVA_Lung,biology,5,gene_expression
1134,OVA_Kidney,biology,5,gene_expression
1494,qsar-biodeg,biology,5,molecular
1145,AP_Breast_Colon,biology,5,gene_expression
1140,AP_Ovary_Lung,biology,5,gene_expression
1157,AP_Endometrium_Kidney,biology,5,gene_expression
1136,AP_Lung_Uterus,biology,5,gene_expression
1132,AP_Omentum_Lung,biology,5,gene_expression
46827,QSAR_Bioconcentration_classification,biology,5,molecular
4134,Bioresponse,biology,5,molecular
1412,lungcancer_GSE31210,biology,4,gene_expression
46850,hepatitis_c_virus_hcv_for_egyptian_patients,health,5,clinical
151,electricity,sensor_signal,4,signal
316,yeast_ml8,biology,4,tabular_bio
1011,ecoli,biology,5,tabular_bio
46874,student_depression_dataset,health,3,survey
1508,user-knowledge,education,5,tabular
46960,students_dropout_and_academic_success,education,5,tabular
43255,1StudentPerfromance,education,5,tabular
43890,law-school-admission-bianry,education,4,tabular
46940,Marketing_Campaign,social,5,tabular
43895,ibm-employee-performance,social,4,tabular
1461,bank-marketing,finance,5,tabular
46526,Loan_Approval_Status_Classification,finance,5,tabular
42477,default-of-credit-card-clients,finance,5,tabular
46372,Multiclass_Classification_for_Corporate_Credit_Ratings,finance,5,tabular
46382,company_quality_and_valuation_finance,finance,5,tabular
46455,Credit_Card_Fraud_Classification,finance,5,tabular
31,credit-g,finance,5,tabular
44097,credit-g_copy,finance,5,tabular
44098,credit-g_reproduced_1,finance,5,tabular
46962,taiwanese_bankruptcy_prediction,finance,5,tabular
1495,qualitative-bankruptcy,finance,5,tabular
49,heart-c,health,5,clinical
15,breast-w,health,5,clinical
13,breast-cancer,health,5,clinical
45557,Mammographic-Mass-Data-Set,health,5,clinical
46846,glioma_grading_clinical_and_mutation_features,health,4,clinical
40497,thyroid-ann,health,5,clinical
35,dermatology,health,5,clinical
481,biomed,health,4,clinical
44149,Heart_disease_prediction_20,health,5,clinical
53,heart-statlog,health,5,clinical
40475,thyroid-allhyper,health,5,clinical
40476,thyroid-allhypo,health,5,clinical
40477,thyroid-allrep,health,5,clinical
40478,thyroid-dis,health,5,clinical
46879,mental_health_detection,health,5,survey
1464,blood-transfusion-service-center,health,4,tabular
36,segment,image,5,image_pixels
182,satimage,image,5,image_pixels
6,letter,image,5,image_pixels
32,pendigits,image,5,image_pixels
28,optdigits,image,5,image_pixels
40499,texture,image,5,image_pixels
20,mfeat-pixel,image,5,image_pixels
1459,artificial-characters,image,4,image_shape
40926,CIFAR_10_small,image,5,image_pixels
1462,banknote-authentication,image,4,image_derived
40496,LED-display-domain-7digit,image,3,synthetic_digit
44698,Fashion-MNIST_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,image,5,image_pixels
1478,har,sensor_signal,5,signal
1497,wall-robot-navigation,sensor_signal,5,signal
40,sonar,sensor_signal,5,signal
1504,steel-plates-fault,sensor_signal,4,signal
45562,seismic-bumps,sensor_signal,5,signal
1476,gas-drift,sensor_signal,5,signal
4538,GesturePhaseSegmentationProcessed,sensor_signal,5,signal
46280,blastchar,social,5,tabular
1590,adult,social,5,tabular
40701,churn,social,5,tabular
46667,imdb_genre_prediction,text,4,text
1119,adult-census,social,5,tabular
46938,Is-this-a-good-customer,finance,4,tabular
46281,insurance_company,finance,4,tabular
46371,Customer_Churn_Classification_Nominal,social,4,tabular
46911,Bank_Customer_Churn,social,4,tabular
44232,UCI_churn,social,5,tabular
45545,Tour-and-Travels-Customer-Churn-Prediction,social,4,tabular
373,UNIX_user_data,social,3,sequence
1457,amazon-commerce-reviews,text,5,text
46806,product_sentiment_machine_hack,text,5,text
46937,in_vehicle_coupon_recommendation,social,5,tabular
46941,maternal_health_risk,health,5,clinical
1158,AP_Breast_Kidney,biology,5,gene_expression
1137,AP_Colon_Kidney,biology,5,gene_expression
1165,AP_Breast_Ovary,biology,5,gene_expression
1150,AP_Breast_Lung,biology,5,gene_expression
1148,AP_Breast_Uterus,biology,5,gene_expression
1149,AP_Ovary_Kidney,biology,5,gene_expression
1127,AP_Breast_Omentum,biology,5,gene_expression
1122,AP_Breast_Prostate,biology,5,gene_expression
1126,AP_Colon_Lung,biology,5,gene_expression
1123,AP_Endometrium_Breast,biology,5,gene_expression
1163,AP_Lung_Kidney,biology,5,gene_expression
1129,AP_Uterus_Kidney,biology,5,gene_expression
1147,AP_Omentum_Kidney,biology,5,gene_expression
1144,AP_Prostate_Kidney,biology,5,gene_expression
46752,student_lifestyle_dataset,education,4,tabular
43098,students_scores,education,5,tabular
45748,StudentsPerformance,education,5,tabular
46745,Advanced_IoT_Dataset,sensor_signal,4,signal
46502,Credit_Approval_Classification,finance,5,tabular
43595,Loan-Predication,finance,5,tabular
46605,differentiated_thyroid_cancer_recurrence,health,5,clinical
37,diabetes,health,5,clinical
46601,Cirrhosis_Patient_Survival_Prediction,health,5,clinical
46733,diabetes_risk_prediction_dataset,health,5,survey
46600,maternal_health_risk,health,5,clinical
46602,Predicting_Risk_Factors_of_Chronic_Kidney_Disease,health,5,clinical
42178,telco-customer-churn,social,5,tabular
44226,NewspaperChurn,social,4,tabular
46652,news_channel,text,3,text
