did,name,clean_text_tokens,llm_domain,llm_domain_confidence,llm_modality,llm_subtype,llm_tags,llm_leakage_risk,llm_model,llm_provider,error
46,splice,118,biology,0.9,sequence,dna_sequence,biological|high_dimensional|many_samples,low,gemini-2.5-flash-lite,google_gemini_api,
40670,dna,155,biology,0.9,sequence,gene_expression,binary_features|sparse|high_dimensional|biological,low,gemini-2.5-flash-lite,google_gemini_api,
1128,OVA_Breast,202,biology,0.9,sequence,gene_expression,high_dimensional|many_samples|sparse|mostly_numeric|biological|clinical,low,gemini-2.5-flash-lite,google_gemini_api,
1130,OVA_Lung,202,biology,0.9,sequence,gene_expression,high_dimensional|many_samples|sparse|mostly_numeric|biological|clinical,low,gemini-2.5-flash-lite,google_gemini_api,
1134,OVA_Kidney,202,biology,0.9,sequence,gene_expression,high_dimensional|many_samples|sparse|mostly_numeric|biological|clinical,low,gemini-2.5-flash-lite,google_gemini_api,
1494,qsar-biodeg,202,biology,0.8,tabular,chemical_qsar,high_dimensional|mostly_numeric|chemical|binary_features,low,gemini-2.5-flash-lite,google_gemini_api,
1140,AP_Ovary_Lung,202,biology,0.9,sequence,gene_expression,high_dimensional|many_samples|sparse|mostly_numeric|biological|clinical,low,gemini-2.5-flash-lite,google_gemini_api,
1157,AP_Endometrium_Kidney,202,biology,0.9,sequence,gene_expression,high_dimensional|many_samples|sparse|mostly_numeric|biological|clinical,low,gemini-2.5-flash-lite,google_gemini_api,
1136,AP_Lung_Uterus,202,biology,0.9,sequence,gene_expression,high_dimensional|many_samples|sparse|mostly_numeric|biological|clinical,low,gemini-2.5-flash-lite,google_gemini_api,
1011,ecoli,29,health,0.7,tabular,unknown,binary_features|imbalanced|sparse|high_dimensional,low,gemini-2.5-flash-lite,google_gemini_api,
1145,AP_Breast_Colon,202,biology,0.9,sequence,gene_expression,high_dimensional|many_samples|sparse|mostly_numeric|biological|clinical,low,gemini-2.5-flash-lite,google_gemini_api,
1132,AP_Omentum_Lung,202,biology,0.9,sequence,gene_expression,high_dimensional|many_samples|sparse|mostly_numeric|biological|clinical,low,gemini-2.5-flash-lite,google_gemini_api,
46827,QSAR_Bioconcentration_classification,122,biology,0.8,tabular,chemical_qsar,mostly_numeric|high_dimensional|chemical,low,gemini-2.5-flash-lite,google_gemini_api,
4134,Bioresponse,71,biology,0.9,tabular,chemical_qsar,high_dimensional|mostly_numeric|biological|chemical,low,gemini-2.5-flash-lite,google_gemini_api,
